ID,Station_Name,OS X,OS Y,Latitude,Longitude,Zone,Postcode,Zone_original
100,Carshalton,527737,164858,51.36842609544170,-0.166398326,5,SM5 2HT,5
101,Carshalton Beeches,527552,163625,51.357386565323100,-0.169496324,5,SM5 3LG,5
102,Castle Bar Park,515853,181770,51.52297312488630,-0.33150407,4,W7 1AY,4
103,Caterham,534099,155422,51.28216269622900,-0.078607298,6,CR3 6LB,6
104,Catford,537245,173544,51.444264871170300,-0.026538499,3,SE6 4XT,3
105,Catford Bridge,537363,173595,51.44469458702000,-0.024821876,3,SE6 4RE,3
106,Centrale,532067,165785,51.37576730003020,-0.103888103,3,CR0 1XT,"3,4,5,6"
107,Chadwell Heath,547646,187611,51.56804709196960,0.12890111256818000,5,RM6 4BE,5
108,Chafford Hundred,558922,178770,51.485554969647100,0.2874757055480310,7,RM16 6QQ,7
109,Chalfont and Latimer,499610,197550,51.66790656389210,-0.561067759,8,HP7 9PR,8
110,Chalk Farm,528126,184421,51.54414883734660,-0.15373307,2,NW3 2BP,2
111,Chancery Lane,531096,181642,51.518493835819900,-0.111962027,1,WC1V 6DR,1
112,Charing Cross,530234,180492,51.50835842818620,-0.124802937,1,WC2N 5HS,1
113,Charlton,541108,178387,51.48683504159720,0.030941644861415000,3,SE7 7AB,3
114,Cheam,524444,163334,51.35545989418580,-0.214211281,5,SM3 8RZ,5
115,Chelsfield,546944,164021,51.35626476,0.1089841204169230,6,BR6 6EU,6
116,Chesham,496048,201650,51.705379023301300,-0.611429635,9,HP5 1DH,9
117,Cheshunt,536652,202307,51.70287327834180,-0.023887415,8,EN8 9AQ,8
118,Chessington North,518415,164168,51.364242952267200,-0.300476124,6,KT9 2RT,6
119,Chessington South,517974,163319,51.35670402954920,-0.307089015,6,KT9 2DD,6
120,Chigwell,543835,193045,51.61785799974180,0.076179215,4,IG7 6NT,4
121,Chingford,539173,194628,51.63325339188140,0.009514326,5,E4 6AL,5
122,Chipstead,527689,158275,51.30927470676410,-0.169445868,6,CR5 3TD,6
123,Chislehurst,543205,169405,51.405598505329700,0.057491822,5,BR7 5NN,5
124,Chiswick,520438,177182,51.48078105961510,-0.267013318,3,W4 2QE,3
125,Chiswick Park,520352,178692,51.494370277942700,-0.267736918,3,W4 5NE,3
126,Chorleywood,502596,196092,51.65426508092770,-0.518333911,7,WD3 5ND,7
127,Church Street,532041,165555,51.37370639339630,-0.104346828,3,CR0 1RN,"3,4,5,6"
128,City Thameslink,531688,181150,51.513934900660100,-0.103618449,1,EC4M 7JH,1
129,Clapham Common,529428,175291,51.461803445807900,-0.138314901,2,SW4 7AJ,2
130,Clapham High Street,529824,175709,51.46546929922250,-0.132464502,2,SW4 6DQ,2
131,Clapham Junction,527198,175520,51.464366507789400,-0.170315001,2,SW11 2QP,2
132,Clapham North,530003,175652,51.46491600472910,-0.129910062,2,SW4 7TS,2
133,Clapham South,528782,174259,51.45267624920500,-0.147984068,2,SW12 9DU,"2,3"
134,Clapton,534748,186531,51.56156899642490,-0.057489458,2,E5 9JP,2
135,Clock House,536367,169545,51.408540496896900,-0.040702092,4,BR3 4PR,4
136,Cockfosters,528087,196424,51.65202423620420,-0.14991671,5,EN4 0DZ,5
137,Colindale,521295,189937,51.59523010894070,-0.25028754,4,NW9 5HR,4
138,Colliers Wood,526831,170436,51.41875889952970,-0.177415098,3,SW19 2HR,3
139,Coombe Lane,535201,164089,51.359789214486200,-0.059531571,3,CR0 5RF,"3,4,5,6"
140,Coulsdon South,529869,159056,51.31580072052950,-0.137903089,6,CR5 3EA,6
141,Coulsdon Town,530098,159802,51.32245273545390,-0.134347056,6,CR5 2JA,6
